ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
243129_at,0.969,0.27572945,1.353908,LOC642980,uncharacterized LOC642980
222081_at,0.969,0.27576456,1.353793,SIRT5,sirtuin 5
208277_at,0.969,0.27576765,1.353783,PITX3,paired like homeodomain 3
231410_at,0.969,0.27577346,1.353764,,
207409_at,0.969,0.27578788,1.353716,LECT2,leukocyte cell derived chemotaxin 2
202145_at,0.969,0.27580019,1.353676,LY6E,"lymphocyte antigen 6 complex, locus E"
1556779_s_at,0.969,0.27580093,1.353673,,
237990_x_at,0.969,0.27581948,1.353613,CACTIN,"cactin, spliceosome C complex subunit"
236393_at,0.969,0.27583904,1.353548,,
242924_at,0.969,0.27585339,1.353501,,
1566452_at,0.969,0.27590854,1.35332,,
238803_at,0.969,0.275912,1.353308,HECTD2,HECT domain E3 ubiquitin protein ligase 2
211920_at,0.969,0.27594938,1.353186,CFB,complement factor B
220493_at,0.969,0.27597793,1.353092,DMRT1,doublesex and mab-3 related transcription factor 1
228012_at,0.969,0.27601215,1.352979,SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3
243174_at,0.969,0.27606162,1.352817,,
233685_at,0.969,0.27606234,1.352815,,
206230_at,0.969,0.27606831,1.352795,LHX1,LIM homeobox 1
237454_at,0.969,0.27607531,1.352772,,
231382_at,0.969,0.27608562,1.352738,FGF18,fibroblast growth factor 18
234300_s_at,0.969,0.27610327,1.35268,ZFP28,ZFP28 zinc finger protein
216357_at,0.969,0.2761181,1.352632,SNX1,sorting nexin 1
223803_s_at,0.969,0.27613692,1.35257,ZCCHC10,zinc finger CCHC-type containing 10
236150_at,0.969,0.27614174,1.352554,HYKK,hydroxylysine kinase
1565637_at,0.969,0.27614988,1.352527,PMP22,peripheral myelin protein 22
223870_at,0.969,0.27616046,1.352492,LOC100996906///CDRT1///FBXW10,F-box/WD repeat-containing protein 10-like///CMT1A duplicated region transcript 1///F-box and WD repeat domain containing 10
1569714_at,0.969,0.27619242,1.352388,RBSN,"rabenosyn, RAB effector"
242831_at,0.969,0.27619986,1.352363,,
1554208_at,0.969,0.27621137,1.352325,MEI1,meiotic double-stranded break formation protein 1
217872_at,0.969,0.27621879,1.352301,PIH1D1,PIH1 domain containing 1
204659_s_at,0.969,0.27622463,1.352282,GFER,"growth factor, augmenter of liver regeneration"
206134_at,0.969,0.27625267,1.35219,ADAMDEC1,ADAM like decysin 1
236773_at,0.969,0.2762547,1.352183,,
209411_s_at,0.969,0.27628291,1.352091,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
1560483_at,0.969,0.27628293,1.352091,,
212808_at,0.969,0.27629735,1.352043,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
221209_s_at,0.969,0.27632158,1.351964,OTOR,otoraplin
241077_at,0.969,0.27632223,1.351962,,
205613_at,0.969,0.27637243,1.351797,SYT17,synaptotagmin 17
221448_s_at,0.969,0.27638053,1.35177,TEX15,testis expressed 15
228150_at,0.969,0.276383,1.351762,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor"
219548_at,0.969,0.27640278,1.351697,ZNF16,zinc finger protein 16
209252_at,0.969,0.27641237,1.351666,HARS2,"histidyl-tRNA synthetase 2, mitochondrial"
208652_at,0.969,0.2764846,1.351429,PPP2CA,protein phosphatase 2 catalytic subunit alpha
235565_at,0.969,0.27652367,1.351301,ZNF425,zinc finger protein 425
217312_s_at,0.969,0.27654215,1.35124,COL7A1,collagen type VII alpha 1 chain
214300_s_at,0.969,0.27654558,1.351229,TOP3A,topoisomerase (DNA) III alpha
214738_s_at,0.969,0.27661656,1.350996,NEK9,NIMA related kinase 9
234472_at,0.969,0.27662198,1.350979,GALNT13,polypeptide N-acetylgalactosaminyltransferase 13
206831_s_at,0.969,0.27663321,1.350942,ARSD,arylsulfatase D
1563315_s_at,0.969,0.27665376,1.350874,ERICH1,glutamate rich 1
230111_at,0.969,0.27667394,1.350808,,
240228_at,0.969,0.27670924,1.350693,CSMD3,CUB and Sushi multiple domains 3
240984_at,0.969,0.27675068,1.350557,,
210287_s_at,0.969,0.27676253,1.350518,FLT1,fms related tyrosine kinase 1
219108_x_at,0.969,0.27676379,1.350514,DDX27///SS18,"DEAD-box helicase 27///SS18, nBAF chromatin remodeling complex subunit"
217716_s_at,0.969,0.27677723,1.35047,SEC61A1,Sec61 translocon alpha 1 subunit
215485_s_at,0.969,0.2767903,1.350427,ICAM1,intercellular adhesion molecule 1
240211_at,0.969,0.27681323,1.350352,LOC100130468///APCDD1,uncharacterized LOC100130468///APC down-regulated 1
229168_at,0.969,0.27682666,1.350308,COL23A1,collagen type XXIII alpha 1 chain
1566954_at,0.969,0.27684439,1.35025,,
236442_at,0.969,0.27686077,1.350196,DPF3,double PHD fingers 3
239402_at,0.969,0.27690809,1.350041,,
216923_at,0.969,0.27691608,1.350015,CDKL5,cyclin dependent kinase like 5
241149_at,0.969,0.27692809,1.349976,,
240286_at,0.969,0.27695899,1.349875,,
220326_s_at,0.969,0.27697215,1.349832,ARHGEF40,Rho guanine nucleotide exchange factor 40
235163_at,0.969,0.27700752,1.349716,MOB3A,MOB kinase activator 3A
1569253_at,0.969,0.27702305,1.349665,INTS4,integrator complex subunit 4
223121_s_at,0.969,0.27702805,1.349649,SFRP2,secreted frizzled related protein 2
1567527_at,0.969,0.27702876,1.349646,,
226138_s_at,0.969,0.27703393,1.349629,,
232215_x_at,0.969,0.27706876,1.349515,PRR11,proline rich 11
1557820_at,0.969,0.27709362,1.349434,AFG3L2,AFG3 like matrix AAA peptidase subunit 2
243618_s_at,0.969,0.27710905,1.349384,ZNF827,zinc finger protein 827
1557791_at,0.969,0.2771433,1.349272,,
210554_s_at,0.969,0.27716706,1.349194,CTBP2,C-terminal binding protein 2
214942_at,0.969,0.2772054,1.349068,RBM34,RNA binding motif protein 34
231843_at,0.969,0.27722934,1.34899,DDX55,DEAD-box helicase 55
233497_at,0.969,0.27723541,1.34897,,
1563521_at,0.969,0.27723592,1.348969,MOB3B,MOB kinase activator 3B
240035_at,0.969,0.27725059,1.348921,,
209363_s_at,0.969,0.27725784,1.348897,LOC101928625///MED21,uncharacterized LOC101928625///mediator complex subunit 21
217763_s_at,0.969,0.27728101,1.348821,RAB31,"RAB31, member RAS oncogene family"
209231_s_at,0.969,0.27728661,1.348803,DCTN5,dynactin subunit 5
236165_at,0.969,0.27728785,1.348799,MSL3,male-specific lethal 3 homolog (Drosophila)
212788_x_at,0.969,0.27732379,1.348681,FTL,ferritin light chain
220558_x_at,0.969,0.27737016,1.34853,TSPAN32,tetraspanin 32
214264_s_at,0.969,0.27739174,1.348459,EFCAB11,EF-hand calcium binding domain 11
232068_s_at,0.969,0.27739453,1.34845,TLR4,toll like receptor 4
211012_s_at,0.969,0.27739923,1.348435,PML,promyelocytic leukemia
211262_at,0.969,0.27740412,1.348419,PCSK6,proprotein convertase subtilisin/kexin type 6
1569959_at,0.969,0.27744834,1.348274,,
212879_x_at,0.969,0.27747379,1.348191,PIAS4,protein inhibitor of activated STAT 4
237277_at,0.969,0.27747535,1.348186,,
209996_x_at,0.969,0.2775207,1.348038,PCM1,pericentriolar material 1
202424_at,0.969,0.27754541,1.347957,MAP2K2,mitogen-activated protein kinase kinase 2
239504_at,0.969,0.27757268,1.347868,,
241106_at,0.969,0.27758179,1.347838,,
200758_s_at,0.969,0.27760706,1.347756,NFE2L1,"nuclear factor, erythroid 2 like 1"
213402_at,0.969,0.2776195,1.347715,ZNF787,zinc finger protein 787
205209_at,0.969,0.27763859,1.347653,ACVR1B,activin A receptor type 1B
234825_at,0.969,0.27764129,1.347644,,
203723_at,0.969,0.27764906,1.347619,ITPKB,inositol-trisphosphate 3-kinase B
225068_at,0.969,0.27765627,1.347595,KLHL12,kelch like family member 12
1556684_at,0.969,0.27765828,1.347588,RPPH1,ribonuclease P RNA component H1
238938_at,0.969,0.27766385,1.34757,,
226591_at,0.969,0.27769596,1.347465,PWAR6,Prader Willi/Angelman region RNA 6
210944_s_at,0.969,0.27771632,1.347399,CAPN3,calpain 3
244390_at,0.969,0.27773869,1.347326,,
215361_at,0.969,0.27774533,1.347304,DOCK5,dedicator of cytokinesis 5
1558469_at,0.969,0.27777405,1.347211,LPP,LIM domain containing preferred translocation partner in lipoma
230115_at,0.969,0.27778135,1.347187,DKFZp779M0652,uncharacterized DKFZp779M0652
213189_at,0.969,0.27779097,1.347155,MINA,MYC induced nuclear antigen
1557123_a_at,0.969,0.27779799,1.347132,CHADL,chondroadherin like
221386_at,0.969,0.27780685,1.347103,OR3A2,olfactory receptor family 3 subfamily A member 2
221196_x_at,0.969,0.27784707,1.346972,BRCC3,BRCA1/BRCA2-containing complex subunit 3
1557007_a_at,0.969,0.27788405,1.346852,LOC105376530,uncharacterized LOC105376530
1561517_at,0.969,0.27788948,1.346834,SSPN,sarcospan
1562825_at,0.969,0.27792488,1.346718,LOC105372404,uncharacterized LOC105372404
224882_at,0.969,0.2779276,1.346709,ACSS1,acyl-CoA synthetase short-chain family member 1
216312_at,0.969,0.27793118,1.346698,ATP2B3,ATPase plasma membrane Ca2+ transporting 3
204340_at,0.969,0.27797816,1.346545,TMEM187,transmembrane protein 187
202419_at,0.969,0.27806414,1.346264,KDSR,3-ketodihydrosphingosine reductase
210564_x_at,0.969,0.27807295,1.346235,CFLAR,CASP8 and FADD like apoptosis regulator
224369_s_at,0.969,0.27807357,1.346233,FBXO38,F-box protein 38
242555_at,0.969,0.2780902,1.346179,C16orf87,chromosome 16 open reading frame 87
239411_at,0.969,0.27809698,1.346157,,
205419_at,0.969,0.27810089,1.346144,GPR183,G protein-coupled receptor 183
240115_at,0.969,0.27815788,1.345959,LOC100286925,uncharacterized LOC100286925
217692_at,0.969,0.27819101,1.345851,MAGOH2P,"mago homolog 2, pseudogene"
237186_at,0.969,0.27821914,1.345759,KCNJ5,potassium voltage-gated channel subfamily J member 5
223583_at,0.969,0.27822289,1.345747,TNFAIP8L2,TNF alpha induced protein 8 like 2
210641_at,0.969,0.27823051,1.345722,CAPN9,calpain 9
222847_s_at,0.969,0.27823832,1.345696,EGLN3,egl-9 family hypoxia inducible factor 3
225338_at,0.969,0.27824741,1.345667,ZYG11B,"zyg-11 family member B, cell cycle regulator"
218315_s_at,0.969,0.27827072,1.345591,CDK5RAP1,CDK5 regulatory subunit associated protein 1
222934_s_at,0.969,0.27828451,1.345546,CLEC4E,C-type lectin domain family 4 member E
220391_at,0.969,0.27828986,1.345528,ZBTB3,zinc finger and BTB domain containing 3
240659_x_at,0.969,0.27830656,1.345474,,
227843_at,0.969,0.27832113,1.345427,NDE1,nudE neurodevelopment protein 1
1566147_a_at,0.969,0.27832812,1.345404,ANKRD20A12P,"ankyrin repeat domain 20 family member A12, pseudogene"
215053_at,0.969,0.27833681,1.345375,SRCAP,Snf2-related CREBBP activator protein
232647_at,0.969,0.2783401,1.345365,PROCA1,protein interacting with cyclin A1
1558348_at,0.969,0.27834488,1.345349,DET1,de-etiolated homolog 1 (Arabidopsis)
203373_at,0.969,0.27841556,1.345119,SOCS2,suppressor of cytokine signaling 2
223928_s_at,0.969,0.27842011,1.345104,GUCA1C,guanylate cyclase activator 1C
206998_x_at,0.969,0.27846787,1.344949,PRB3,proline rich protein BstNI subfamily 3
236590_at,0.969,0.2784786,1.344914,,
222474_s_at,0.969,0.27849017,1.344876,TOMM22,translocase of outer mitochondrial membrane 22
217566_s_at,0.969,0.27850587,1.344825,TGM4,transglutaminase 4
1552621_at,0.969,0.27851679,1.344789,UPK3BL///POLR2J3///POLR2J2///POLR2J,uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J
1556163_a_at,0.969,0.27857747,1.344592,IGSF3,immunoglobulin superfamily member 3
223402_at,0.969,0.27860235,1.344511,DUSP23,dual specificity phosphatase 23
219654_at,0.969,0.27863738,1.344397,HACD1,3-hydroxyacyl-CoA dehydratase 1
238177_at,0.969,0.27864656,1.344367,SLC6A19,solute carrier family 6 member 19
206052_s_at,0.969,0.27867557,1.344273,SLBP,stem-loop binding protein
221267_s_at,0.969,0.27870256,1.344185,ABHD17A,abhydrolase domain containing 17A
211992_at,0.969,0.27870922,1.344163,WNK1,WNK lysine deficient protein kinase 1
34210_at,0.969,0.27872177,1.344122,CD52,CD52 molecule
219579_at,0.969,0.27875699,1.344008,RAB3IL1,RAB3A interacting protein like 1
239498_at,0.969,0.27878392,1.34392,,
1558972_s_at,0.969,0.27879968,1.343869,THEMIS,thymocyte selection associated
210649_s_at,0.969,0.27880962,1.343836,ARID1A,AT-rich interaction domain 1A
205285_s_at,0.969,0.27881248,1.343827,FYB,FYN binding protein
1566110_at,0.969,0.27883382,1.343758,PIEZO1,piezo type mechanosensitive ion channel component 1
1554450_s_at,0.969,0.27884021,1.343737,MIER3,MIER family member 3
230172_at,0.969,0.27886637,1.343652,IFI27L1,interferon alpha inducible protein 27 like 1
236526_x_at,0.969,0.27886801,1.343647,TRAPPC13,trafficking protein particle complex 13
224790_at,0.969,0.2788689,1.343644,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
219187_at,0.969,0.27888071,1.343605,FKBPL,FK506 binding protein like
238910_at,0.969,0.27892585,1.343459,CLUHP3,clustered mitochondria homolog pseudogene 3
244253_at,0.969,0.2789587,1.343352,,
239111_at,0.969,0.27898947,1.343252,PRDM8,PR/SET domain 8
219381_at,0.969,0.27902877,1.343124,C5orf42,chromosome 5 open reading frame 42
211299_s_at,0.969,0.27905267,1.343046,FLOT2,flotillin 2
209443_at,0.969,0.27906595,1.343003,SERPINA5,serpin family A member 5
1561595_x_at,0.969,0.27908681,1.342935,LOC101928238,uncharacterized LOC101928238
211639_x_at,0.969,0.27909533,1.342908,IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH,immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
230466_s_at,0.969,0.27912603,1.342808,RASSF3,Ras association domain family member 3
1552656_s_at,0.969,0.27912881,1.342799,UHMK1,U2AF homology motif (UHM) kinase 1
235840_at,0.969,0.27917813,1.342639,ZKSCAN3,zinc finger with KRAB and SCAN domains 3
200742_s_at,0.969,0.27918018,1.342632,TPP1,tripeptidyl peptidase 1
203573_s_at,0.969,0.27920221,1.342561,RABGGTA,Rab geranylgeranyltransferase alpha subunit
241081_at,0.969,0.2792023,1.34256,,
215590_x_at,0.969,0.27920556,1.34255,ACVR2B-AS1,ACVR2B antisense RNA 1
232892_at,0.969,0.27922832,1.342476,MIR1-1HG,MIR1-1 host gene
221930_at,0.969,0.27924512,1.342421,PHF7,PHD finger protein 7
228089_x_at,0.969,0.27925117,1.342402,MIR6748///TMEM179B,microRNA 6748///transmembrane protein 179B
231731_at,0.969,0.27926045,1.342371,OTX2,orthodenticle homeobox 2
220184_at,0.969,0.2793154,1.342193,NANOG,Nanog homeobox
226145_s_at,0.969,0.27935342,1.34207,FRAS1,Fraser extracellular matrix complex subunit 1
236768_at,0.969,0.27940512,1.341902,LINC01233,long intergenic non-protein coding RNA 1233
203793_x_at,0.969,0.27940859,1.341891,PCGF2,polycomb group ring finger 2
212519_at,0.969,0.2794173,1.341862,UBE2E1,ubiquitin conjugating enzyme E2 E1
1556061_at,0.969,0.27942036,1.341852,RPP30,ribonuclease P/MRP subunit p30
218242_s_at,0.969,0.27942819,1.341827,KMT5B,lysine methyltransferase 5B
220774_at,0.969,0.27945805,1.34173,DYM,dymeclin
211595_s_at,0.969,0.27946656,1.341703,MRPS11,mitochondrial ribosomal protein S11
221351_at,0.969,0.27948375,1.341647,HTR1A,5-hydroxytryptamine receptor 1A
213982_s_at,0.969,0.27950065,1.341592,RABGAP1L,RAB GTPase activating protein 1 like
231003_at,0.969,0.27952134,1.341525,SLC35B3,solute carrier family 35 member B3
240065_at,0.969,0.27953408,1.341483,FAM81B,family with sequence similarity 81 member B
216680_s_at,0.969,0.2795672,1.341376,EPHB4,EPH receptor B4
216924_s_at,0.969,0.27957054,1.341365,DRD2,dopamine receptor D2
229962_at,0.969,0.27957163,1.341362,LRRC37A3,leucine rich repeat containing 37 member A3
236343_at,0.969,0.27958391,1.341322,,
237530_at,0.969,0.27959466,1.341287,,
43427_at,0.969,0.27963054,1.341171,ACACB,acetyl-CoA carboxylase beta
244196_at,0.969,0.27966421,1.341061,,
213173_at,0.969,0.27969001,1.340978,PCNX1,pecanex homolog 1 (Drosophila)
1559975_at,0.969,0.27969115,1.340974,BTG1,BTG anti-proliferation factor 1
226002_at,0.969,0.27969596,1.340958,GAB1,GRB2 associated binding protein 1
216735_x_at,0.969,0.27970986,1.340913,,
225849_s_at,0.969,0.27971027,1.340912,SFT2D1,SFT2 domain containing 1
1569080_at,0.969,0.27972022,1.34088,RNF165,ring finger protein 165
211336_x_at,0.969,0.27979647,1.340633,LILRB1,leukocyte immunoglobulin like receptor B1
219806_s_at,0.969,0.27979836,1.340627,SMCO4,single-pass membrane protein with coiled-coil domains 4
222996_s_at,0.969,0.27984973,1.34046,CXXC5,CXXC finger protein 5
210613_s_at,0.969,0.27990328,1.340287,SYNGR1,synaptogyrin 1
1557656_at,0.969,0.27990335,1.340286,LINC00642,long intergenic non-protein coding RNA 642
224803_s_at,0.969,0.27991412,1.340251,MRPL20,mitochondrial ribosomal protein L20
202830_s_at,0.969,0.2799153,1.340248,SLC37A4,solute carrier family 37 member 4
232826_at,0.969,0.27992067,1.34023,,
215768_at,0.969,0.27999876,1.339977,,
240324_at,0.969,0.28000665,1.339952,,
206742_at,0.969,0.28000985,1.339941,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor
234012_at,0.969,0.2800103,1.33994,,
232590_at,0.969,0.28004742,1.33982,,
217711_at,0.969,0.28006342,1.339768,TEK,TEK receptor tyrosine kinase
1562675_at,0.969,0.28006651,1.339758,FAAP20,Fanconi anemia core complex associated protein 20
217319_x_at,0.969,0.2800772,1.339723,CYP4A22///CYP4A11,cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11
220548_at,0.969,0.28009311,1.339672,PKDREJ,polycystin (PKD) family receptor for egg jelly
236053_at,0.969,0.28010445,1.339635,LOC100128653,uncharacterized LOC100128653
216032_s_at,0.969,0.28017495,1.339407,ERGIC3,ERGIC and golgi 3
226768_at,0.969,0.28019198,1.339352,GIGYF1,GRB10 interacting GYF protein 1
237341_at,0.969,0.28019618,1.339338,,
243815_at,0.969,0.28021576,1.339275,PGBD4,piggyBac transposable element derived 4
223962_at,0.969,0.28024318,1.339186,TTC29,tetratricopeptide repeat domain 29
220316_at,0.969,0.28024942,1.339166,NPAS3,neuronal PAS domain protein 3
205227_at,0.969,0.28025664,1.339143,IL1RAP,interleukin 1 receptor accessory protein
217332_at,0.969,0.28029657,1.339013,CTAGE11P,"CTAGE family member 11, pseudogene"
241955_at,0.969,0.28033203,1.338899,HECTD1,HECT domain E3 ubiquitin protein ligase 1
1562619_at,0.969,0.28033584,1.338886,NME9,NME/NM23 family member 9
218033_s_at,0.969,0.28034136,1.338868,SNN,stannin
222113_s_at,0.969,0.28035443,1.338826,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1
231067_s_at,0.969,0.28037901,1.338747,AKAP12,A-kinase anchoring protein 12
209894_at,0.969,0.28039362,1.338699,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor
234132_at,0.969,0.2803963,1.338691,USP45,ubiquitin specific peptidase 45
1552742_at,0.969,0.28040849,1.338651,KCNH8,potassium voltage-gated channel subfamily H member 8
1567247_at,0.969,0.28042445,1.3386,OR5H1,olfactory receptor family 5 subfamily H member 1
236649_at,0.969,0.28043717,1.338559,DTWD1,DTW domain containing 1
213745_at,0.969,0.28043928,1.338552,ATRNL1,attractin like 1
243914_at,0.969,0.28043994,1.33855,,
1566509_s_at,0.969,0.28044095,1.338546,FBXO9,F-box protein 9
1568673_s_at,0.969,0.28049419,1.338374,EAF2,ELL associated factor 2
225219_at,0.969,0.28050054,1.338354,SMAD5,SMAD family member 5
235605_at,0.969,0.28050932,1.338325,CASZ1,castor zinc finger 1
205668_at,0.969,0.28055761,1.338169,LY75,lymphocyte antigen 75
204724_s_at,0.969,0.28057146,1.338124,COL9A3,collagen type IX alpha 3 chain
60528_at,0.969,0.28058275,1.338088,PLA2G4B///JMJD7-PLA2G4B,phospholipase A2 group IVB///JMJD7-PLA2G4B readthrough
201839_s_at,0.969,0.28067982,1.337774,EPCAM,epithelial cell adhesion molecule
229919_at,0.969,0.28068209,1.337767,NTPCR,"nucleoside-triphosphatase, cancer-related"
1560176_s_at,0.969,0.28068378,1.337761,PPP4R1L,protein phosphatase 4 regulatory subunit 1 like (pseudogene)
213423_x_at,0.969,0.28069578,1.337723,TUSC3,tumor suppressor candidate 3
236198_at,0.969,0.2807045,1.337695,LINC01215,long intergenic non-protein coding RNA 1215
1563639_a_at,0.969,0.2807179,1.337651,FHAD1,forkhead associated phosphopeptide binding domain 1
231358_at,0.969,0.28072481,1.337629,MRO,maestro
1569873_at,0.969,0.28074475,1.337564,LIPJ,lipase family member J
229657_at,0.969,0.28075337,1.337537,THRB,thyroid hormone receptor beta
234380_x_at,0.969,0.28077023,1.337482,,
242797_x_at,0.969,0.28078619,1.337431,,
243741_at,0.969,0.28078988,1.337419,,
205336_at,0.969,0.28079555,1.3374,PVALB,parvalbumin
1563265_at,0.969,0.28079847,1.337391,HNF4A-AS1,HNF4A antisense RNA 1
244450_at,0.969,0.28082667,1.3373,,
210040_at,0.969,0.28082767,1.337297,SLC12A5,solute carrier family 12 member 5
1561396_at,0.969,0.28082806,1.337295,EPHA6,EPH receptor A6
224457_at,0.969,0.28083944,1.337259,FOXD2-AS1,FOXD2 antisense RNA 1 (head to head)
233572_s_at,0.969,0.28086773,1.337167,BCORL1,BCL6 corepressor-like 1
214785_at,0.969,0.28087793,1.337134,VPS13A,vacuolar protein sorting 13 homolog A
210639_s_at,0.969,0.28088462,1.337113,ATG5,autophagy related 5
243925_at,0.969,0.28091658,1.33701,,
241073_at,0.969,0.28095866,1.336874,,
1560492_at,0.969,0.28101493,1.336692,,
1564746_at,0.969,0.28102092,1.336673,SLC9B2,solute carrier family 9 member B2
213306_at,0.969,0.28102121,1.336672,MPDZ,multiple PDZ domain crumbs cell polarity complex component
236504_x_at,0.969,0.28107658,1.336493,C6orf52,chromosome 6 open reading frame 52
242832_at,0.969,0.28108221,1.336475,MIR6883///PER1,microRNA 6883///period circadian clock 1
237446_at,0.969,0.28108503,1.336466,,
217695_x_at,0.969,0.28110648,1.336397,,
216535_at,0.969,0.28111302,1.336376,CADM3,cell adhesion molecule 3
239029_at,0.969,0.28113265,1.336312,TMCC1,transmembrane and coiled-coil domain family 1
215986_at,0.969,0.28113679,1.336299,,
229396_at,0.969,0.28116982,1.336192,OVOL1,ovo like transcriptional repressor 1
221876_at,0.969,0.28120477,1.33608,ZNF783,zinc finger family member 783
236531_at,0.969,0.28121608,1.336043,ZNF800,zinc finger protein 800
209846_s_at,0.969,0.28123772,1.335973,BTN3A2,butyrophilin subfamily 3 member A2
208521_at,0.969,0.28124974,1.335935,OR5I1,olfactory receptor family 5 subfamily I member 1
238416_x_at,0.969,0.28125568,1.335916,ZC3H18,zinc finger CCCH-type containing 18
1560151_x_at,0.969,0.28125988,1.335902,SLC29A2,solute carrier family 29 member 2
221554_at,0.969,0.28126295,1.335892,STRADA,STE20-related kinase adaptor alpha
231385_at,0.969,0.28126334,1.335891,LOC101060236///DPPA3P2///DPPA3,developmental pluripotency associated 3 pseudogene///developmental pluripotency associated 3 pseudogene 2///developmental pluripotency associated 3
232954_at,0.969,0.2812838,1.335825,,
AFFX-r2-Bs-thr-5_s_at,0.969,0.2813177,1.335716,,
242365_at,0.969,0.28133619,1.335656,,
239659_at,0.969,0.28135322,1.335601,,
1556382_a_at,0.969,0.28139799,1.335457,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"
1553263_at,0.969,0.28141328,1.335408,USH1G,USH1 protein network component sans
203843_at,0.969,0.28142268,1.335377,RPS6KA3,ribosomal protein S6 kinase A3
208962_s_at,0.969,0.28143435,1.33534,MIR1908///FADS1,microRNA 1908///fatty acid desaturase 1
231231_at,0.969,0.28143973,1.335322,,
223570_at,0.969,0.28148699,1.33517,MCM10,minichromosome maintenance 10 replication initiation factor
237442_at,0.969,0.28152936,1.335034,,
214979_at,0.969,0.28153969,1.335,,
219956_at,0.969,0.28156394,1.334922,GALNT6,polypeptide N-acetylgalactosaminyltransferase 6
1557436_at,0.969,0.28158287,1.334861,XKR6,XK related 6
225966_at,0.969,0.28160126,1.334802,C17orf89,chromosome 17 open reading frame 89
1568857_a_at,0.969,0.28163936,1.334679,NBR1,"NBR1, autophagy cargo receptor"
243003_at,0.969,0.28164067,1.334675,,
233790_at,0.969,0.28164101,1.334674,,
215402_at,0.969,0.28165119,1.334641,APPBP2,amyloid beta precursor protein binding protein 2
225957_at,0.969,0.28168974,1.334517,CREBRF,CREB3 regulatory factor
234159_at,0.969,0.2817019,1.334478,,
1562408_at,0.969,0.28174876,1.334327,LOC101926984,leucine-rich repeat-containing protein 37A3
213156_at,0.969,0.28175485,1.334307,ZBTB20,zinc finger and BTB domain containing 20
1562916_at,0.969,0.28177007,1.334258,LINC00102,long intergenic non-protein coding RNA 102
231221_at,0.969,0.28179593,1.334175,CLEC16A,C-type lectin domain family 16 member A
218594_at,0.969,0.28180637,1.334142,HEATR1,HEAT repeat containing 1
240021_at,0.969,0.28182004,1.334098,,
230842_at,0.969,0.2818276,1.334073,,
209784_s_at,0.969,0.28184017,1.334033,JAG2,jagged 2
201010_s_at,0.969,0.28184866,1.334006,TXNIP,thioredoxin interacting protein
201782_s_at,0.969,0.28184989,1.334002,AIP,aryl hydrocarbon receptor interacting protein
223136_at,0.969,0.28186726,1.333946,AIG1,androgen induced 1
1556964_s_at,0.969,0.28190052,1.333839,,
203403_s_at,0.969,0.28190834,1.333813,RNF6,ring finger protein 6
235849_at,0.969,0.28191244,1.3338,SCARA5,scavenger receptor class A member 5
1570279_at,0.969,0.281924,1.333763,ABCA1,ATP binding cassette subfamily A member 1
235248_at,0.969,0.28195207,1.333673,BTBD9,BTB domain containing 9
220540_at,0.969,0.28197233,1.333608,KCNK15,potassium two pore domain channel subfamily K member 15
229459_at,0.969,0.28197539,1.333598,FAM19A5,"family with sequence similarity 19 member A5, C-C motif chemokine like"
226260_x_at,0.969,0.28199505,1.333535,ZNF358,zinc finger protein 358
210483_at,0.969,0.28205343,1.333347,LOC254896///TNFRSF10C,uncharacterized LOC254896///TNF receptor superfamily member 10c
233969_at,0.969,0.28207033,1.333293,IGLC1,immunoglobulin lambda constant 1
210623_at,0.969,0.28207728,1.33327,UBXN1,UBX domain protein 1
224328_s_at,0.969,0.28209688,1.333207,LCE3D,late cornified envelope 3D
226028_at,0.969,0.28210867,1.333169,ROBO4,roundabout guidance receptor 4
203840_at,0.969,0.28213788,1.333075,BLZF1,basic leucine zipper nuclear factor 1
215136_s_at,0.969,0.28214892,1.33304,EXOSC8,exosome component 8
208215_x_at,0.969,0.28215423,1.333023,DRD4,dopamine receptor D4
213307_at,0.969,0.28216734,1.332981,SHANK2,SH3 and multiple ankyrin repeat domains 2
218874_s_at,0.969,0.28217601,1.332953,ATAT1,alpha tubulin acetyltransferase 1
220387_s_at,0.969,0.28223573,1.332761,HHLA3,HERV-H LTR-associating 3
