"Virus","Family","Baltimore","Virion","Host","Function","ViralProtein","Receptor","Type","HostExpression","VirusTropism","EntryMode"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes"," Alternative Entry"," virion membrane phosphatidylserine","Tyro3 (TAM family)","Receptor","brain?","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Zika virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Entry"," virion membrane phosphatidylserine","Tyro3 (TAM family)","Receptor","brain?","Macrophages, dendritic cells, keratinocytes","?"
"Zika virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Entry"," virion membrane phosphatidylserine","AXL (TAM family)","Receptor","Dendritic cells, macrophages?","Macrophages, dendritic cells, keratinocytes","?"
"Zika virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","DC-SIGN","Lectin","Dendritic cells","Macrophages, dendritic cells, keratinocytes","?"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes"," Alternative Entry"," virion membrane phosphatidylserine","AXL (TAM family)","Receptor","Dendritic cells, macrophages?","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Yellow fever virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","Heparan sulfate","Carbohydrate","","Macrophages, dendritic cells, hepatocytes","?"
"Encephalomyocarditis virus ","Picornaviridae, Cardiovirus","ss+RNA","Non-env","Rodent, pig","Entry","Capsid protein VP1, VP2 and VP3","Vcam1","Adhesion molecule","lymphocytes, monocytes","Neurons, cardiomyocytes, pancreatic cells",""
"Echovirus E5, E6,E7, E9, E11, E13, E25, E29, E30, E31, and E32","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Neonatal Fc receptor","Receptor","Leukocytes, neutrophils, Epithelial cells","Epithelial cells in the gastrointestinal tract","Caveolin-mediated endocytosis"
"Echovirus E1","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Integrin &alpha;2 &beta;1","Adhesion molecule","","Epithelial cells in the gastrointestinal tract","Caveolin-mediated endocytosis"
"Echovirus E8","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Integrin &alpha;2  &beta;1","Adhesion molecule","","Epithelial cells in the gastrointestinal tract","?"
"Echovirus E6, E7, E11, E12, E20 and E21 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","CD55 (DAF)","Complement receptor","Ubiquitous","epithelial cells in the gastrointestinal tract??, heart",""
"Enterovirus 70","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion?","Capsid protein VP1, VP2 and VP3","alpha 2,3 Sialic acids","Carbohydrate","?","epithelial cells in the gastrointestinal tract??","?"
"Enterovirus 70","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Capsid protein VP1, VP2 and VP3","CD55 (DAF)","Complement regulator","?","epithelial cells in the gastrointestinal tract??","?"
"Enterovirus 71 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Capsid protein VP1, VP2 and VP3","Sialic acids","Carbohydrate","","neurons, lymphocytes?","Depends on entry receptor"
"Enterovirus 71","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Capsid protein VP1, VP2 and VP3","Heparan sulfate","Carbohydrate","","neurons, lymphocytes?","Depends on entry receptor"
"Enterovirus 71 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","SCARB2","Endosomal molecule","Ubiquitous cytoplasmic expression","neurons, lymphocytes?","Clathrin-mediated endocytosis"
"Enterovirus 71 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","SELPLG","Adhesion molecule","Lymphocytes","neurons, lymphocytes?","Caveolin-mediated endocytosis"
"Foot-and-mouth disease virus","Picornaviridae, Aphthovirus","ss+RNA","Non-env","Bovine, sheep","Entry","Capsid protein VP1, VP2 and VP3","Integrins &alpha;V  &beta 1,3,8,6;","Adhesion molecule","","epithelial cells of the mouth, lung, and feet","Clathrin-mediated endocytosis"
"Hepatitis A virus ","Picornaviridae, Hepatovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","HAVCR1(TIM1)","Receptor","Dendritic cells, macrophages, epithelial cells, mast cells, B colorlymphocytes, activated CD4+ cells, kidney, hepatocytes","Hepatocytes, epithelium in gastrointestinal tract, salivary glands, kidney, lymphocytes?","?"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Adhesion","Envelope glycoprotein E1 and E2","Heparan sulfate","Carbohydrate","","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Entry","?","LDLR","Receptor","Gatrointestinal tract, liver, lung, adrenal glands","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Adhesion","Envelope glycoprotein E1 and E2","DC-SIGN","Lectin","Dendritic cells, liver sinusoidal cells","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Adhesion","Envelope glycoprotein E1 and E2","CLEC4M(L-SIGN)","Lectin","Liver sinusoidal cells and lymph nodes","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Entry","Envelope glycoprotein E1 and E2","CLDN1","Adhesion molecule","Epithelial cells","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Entry","Envelope glycoprotein E1 and E2","CD81?","Receptor","hemopoietic, endothelial and epithelial cells","Hepatocytes","Clathrin-mediated endocytosis"
"Hepatitis C virus ","Flaviviridae, Hepacivirus","ss+RNA","Env","Human","Entry","Envelope glycoprotein E1 and E2","SCARB1?","Endosomal molecule","Ubiquitous cytoplasmic expression","Hepatocytes","Clathrin-mediated endocytosis"
"Human coronavirus 229E","Coronaviridae, Alphacoronavirus","ss+RNA","Env","Human","Adhesion","Spike glycoprotein","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","epithelial airway cells, macrophages","Caveolin-mediated endocytosis"
"Human coronavirus 229E","Coronaviridae, Alphacoronavirus","ss+RNA","Env","Human","Entry","Spike glycoprotein","ANPEP","Peptidase","intestinal, lung and kidney epithelial cells, liver","epithelial airway cells, macrophages","Caveolin-mediated endocytosis"
"Human coronavirus OC43","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human","Entry","Spike glycoprotein","(alpha 2,3 or 2,6) 9-O-acetylated Sialic acids","Carbohydrate","","epithelial airway cells","?"
"Human parechovirus 1","Picornaviridae, Parechovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Integrin &alpha;V &beta;3","Adhesion molecule","","epithelial cells in respiratory and gastro-intestinal tract","Clathrin/caveolin-independent endocytosis"
"Japanese encephalitis virus","Flaviviridae, Flavivirus","ss+RNA","Env","Bovine, bird, horse, swine, mosquitoes and Human","Adhesion","Envelope glycoprotein E","Heparan sulfate","Carbohydrate","","Dendritic cells, neurons","Clathrin independent endocytosis"
"Japanese encephalitis virus","Flaviviridae, Flavivirus","ss+RNA","Env","Bovine, bird, horse, swine, mosquitoes and Human","Adhesion","Envelope glycoprotein E","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","Dendritic cells, neurons","Clathrin independent endocytosis"
"Major receptor group, rhinovirus A-B (e.g.HRV14)","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","ICAM-1","Adhesion molecule","Lungs, Lymphoid tissues, Kidney","Nasopharynx epithelial cells","Clathrin/caveolin-independent endocytosis"
"Minor receptor group, rhinovirus A-B (e.g.HRV2)","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","LDLR family","Receptor","adrenal gland, Liver, lung, gastroinstestinal tract","epithelial airway cells","Clathrin-mediated endocytosis"
"Rhinovirus C","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","CDHR3","Adhesion molecule","Nasopharynx, Bronchus, salivary gland","Nasopharynx epithelial cells","?"
"Enterovirus D68 (Rhinovirus 87)","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Envelope glycoprotein VP1, VP2 and VP3","Sialic acids","Carbohydrate","Epithelial cells, blood cells, ubiquitous","epithelial airway cells, Neurons  (spinal cord, brain stem), astrocytes","?"
Neurotropism of Enterovirus D68 Isolates Is Independent of Sialic Acid and Is Not a Recently Acquired PhenotypeAmy B. Rosenfeld, Audrey L. Warren, Vincent R. RacanielloMBio 22 octobre 2019; 10"
"Enterovirus D68 (Rhinovirus 87)","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Envelope glycoprotein VP1, VP2 and VP3","CD55 (DAF)","Complement regulator","Lung, ovary, placenta","epithelial airway cells, Neurons  (spinal cord, brain stem), astrocytes","?"
"Enterovirus D68 (Rhinovirus 87)","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Envelope glycoprotein VP1, VP2 and VP3","ICAM5","Receptor","Brain (but not spinal cord or brain stem)","epithelial airway cells, Neurons (spinal cord, brain stem), astrocytes","?"
"Mouse hepatitis virus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Rodents","Entry","Spike glycoprotein","Ceacam1","Adhesion molecule","Liver and brain","Hepatocytes","Clathrin-mediated endocytosis"
"Poliovirus","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Poliovirus receptor (PVR)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","epithelial cells in oropharyngeal and enteric tract, neurons","Clathrin/caveolin-independent endocytosis and Caveolin-mediated endocytosis"
"Porcine epidemic diarrhea virus","Coronaviridae, Alphacoronavirus","ss+RNA","Env","Swine","Entry","Spike glycoprotein","ANPEP","Peptidase","intestinal, lung and kidney epithelial cells, liver","epithelial cells in the gastrointestinal tract","Clathrin-mediated endocytosis"
"Porcine reproductive and respiratory syndrome virus","Arteriviridae, Arterivirus","ss+RNA","Env","Swine","Adhesion","Glycoprotein GP5","Heparan sulfate","Carbohydrate","","Macrophages","Clathrin-mediated endocytosis"
"Porcine reproductive and respiratory syndrome virus","Arteriviridae, Arterivirus","ss+RNA","Env","Swine","Entry","Glycoprotein GP5","SIGLEC1?","Adhesion molecule","Macrophage","Macrophages","Clathrin-mediated endocytosis"
"Porcine reproductive and respiratory syndrome virus","Arteriviridae, Arterivirus","ss+RNA","Env","Swine","Entry","Glycoprotein GP2a, Glycoprotein GP4","CD163","Receptor","Monocytes","Macrophages","Clathrin-mediated endocytosis"
"Porcine reproductive and respiratory syndrome virus","Arteriviridae, Arterivirus","ss+RNA","Env","Swine","Entry","Glycoprotein GP2a, Glycoprotein GP4","CD151","Adhesion molecule","Muscle cells, epithelial cells, endothelial cells, activated T lymphocytes, dendritic cells ans Schwann cells","Macrophages","Clathrin-mediated endocytosis"
"Sindbis virus ","Togaviridae, Alphavirus","ss+RNA","Env","Mosquitoes, Bird, Human","Adhesion","Envelope glycoprotein E2","Heparan sulfate","Carbohydrate","","?","Clathrin-mediated endocytosis"
"Rubella virus","Togaviridae, Alphavirus","ss+RNA","Env","Human","Entry","Envelope glycoprotein E2","MOG","Adhesion molecule","Central nervous system, heart, muscle","Respiratory tract, ..","Clathrin-mediated endocytosis"
"Sindbis virus ","Togaviridae, Alphavirus","ss+RNA","Env","Mosquitoes, Bird, Human","Entry","Envelope glycoprotein E2","Laminin receptor (RPSA)","Receptor","Ubiquitous","?","Clathrin-mediated endocytosis"
"Human MERS Coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Entry","Spike glycoprotein","DPP4","Peptidase","Muscles, lung, kidneyTissue Distribution of the MERS-Coronavirus Receptor in BatsW. Widagdo, Lineke Begeman, Debby Schipper, Peter R. van Run, Andrew A. Cunningham, Nils Kley, Chantal B. Reusken, Bart L. Haagmans, Judith M. A. van den BrandSci Rep April 26, 2017; 7: 1193","Respiratory tract","?"
"Human SARS Coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Adhesion","Spike glycoprotein","CLEC4G (LSECtin)","Lectin","Dendritic cells, macrophages, sinusoidal endothelial cells of the liver and lymph node","pneumocytes in the lungs and surface enterocytes in the small bowel","Clathrin-mediated endocytosis"
"Human SARS Coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Adhesion","Spike glycoprotein","DC-SIGN","Lectin","Dendritic cells","pneumocytes in the lungs and surface enterocytes in the small bowel","Clathrin-mediated endocytosis"
"Human SARS Coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Adhesion","Spike glycoprotein","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","pneumocytes in the lungs and surface enterocytes in the small bowel","Clathrin-mediated endocytosis"
"Human SARS Coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Entry","Spike glycoprotein","ACE2","peptidase","Lung, small intestine,heart and the kidneys","Pneumocytes in the lungs and surface enterocytes in the small bowel","Clathrin-mediated endocytosis"
"Human SARS coronavirus 2","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Entry","Spike glycoprotein","ACE2","peptidase","Lung, small intestine,heart and the kidneys","Lungs, and?","Clathrin-mediated endocytosis?"
"Human coronavirus NL63","Coronaviridae, Betacoronavirus","ss+RNA","Env","Human, bats, mammals","Entry","Spike glycoprotein","ACE2","peptidase","Lung, small intestine,heart and the kidneys","Lungs, and?","Clathrin-mediated endocytosis"
"Transmissible gastroenteritis virus","Coronaviridae, Alphacoronavirus","ss+RNA","Env","Swine","Entry","Spike glycoprotein","ANPEP","peptidase","intestinal, lung and kidney epithelial cells, liver","epithelial cells in the gastrointestinal tract","?"
"Venezuelan Equine Encephalitis","Togaviridae, Alphavirus","ss+RNA","Env","Horse, Human","Entry","Envelope glycoprotein E2","Laminin receptor (RPSA)","Receptor","Ubiquitous","neuron","Clathrin-mediated endocytosis"
"West Nile virus","Flaviviridae, Flavivirus","ss+RNA","Env","Birds, mosquitoes, Human","Entry"," virion membrane phosphatidylserine? through MFGE8 bridging","Integrin &alpha;V &beta;3?","Adhesion molecule","","primary: Langerhans dendritic cells, secondary: Lymphocytes, kidney, spleen and liver","Clathrin-mediated endocytosis"
"West Nile virus","Flaviviridae, Flavivirus","ss+RNA","Env","Birds, mosquitoes, Human","Adhesion","Envelope glycoprotein E","DC-SIGN","Lectin","Dendritic cells","primary: Langerhans dendritic cells, secondary: Lymphocytes, kidney, spleen and liver","Clathrin-mediated endocytosis"
"West Nile virus","Flaviviridae, Flavivirus","ss+RNA","Env","Birds, mosquitoes, Human","Adhesion","Envelope glycoprotein E","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","primary: Langerhans dendritic cells, secondary: Lymphocytes, kidney, spleen and liver","Clathrin-mediated endocytosis"
"Canine distemper virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Dogs","Entry","Hemagglutinin","Nectin 4 (PVRL4)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","lymphoid, epithelial, and nervous tissues","?"
"Canine distemper virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Dogs","Entry","Hemagglutinin","SLAMF1","Receptor","Lymphocytes","lymphoid, epithelial, and nervous tissues","?"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Adhesion","Glycoprotein","DC-SIGN","Lectin","Dendritic cells","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Adhesion","Glycoprotein","CLEC4G (LSECtin)","Lectin","Dendritic cells, macrophages, sinusoidal endothelial cells of the liver and lymph node","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Entry"," virion membrane phosphatidylserine","HAVCR1(TIM1)","Receptor","Dendritic cells, macrophages, epithelial cells, mast cells, B lymphocytes, activated CD4+ cells, kidney, hepatocytes","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Entry"," virion membrane phosphatidylserine","Tyro3 (TAM family)","Receptor","brain?","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis?"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Entry"," virion membrane phosphatidylserine","AXL (TAM family)","Receptor","Dendritic cells, macrophages?","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis?"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Adhesion","Glycoprotein","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis"
"Ebolavirus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Entry in endosome","Glycoprotein","NPC1","Receptor","Mainly macrophages, dendritic cells, and adrenal gland","Primary: Dendritic cells, macrophages. Secondary: hepatocytes, kidney cells. splenocytes,  endothelial and epithelial cells","Macropinocytosis"
"Marburg virus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Adhesion","Glycoprotein","DC-SIGN","Lectin","Dendritic cells","Primary: Dendritic cells, macrophages. Secondary: endothelial and epithelial cells","Macropinocytosis"
"Marburg virus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Adhesion","Glycoprotein","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","Primary: Dendritic cells, macrophages. Secondary: endothelial and epithelial cells","Macropinocytosis"
"Marburg virus","Filoviridae, Filovirus","ss-RNA","Env","Bats, mammals, human","Entry"," virion membrane phosphatidylserine","HAVCR1(TIM1)","Receptor","Dendritic cells, macrophages, epithelial cells, mast cells, B lymphocytes, activated CD4+ cells, kidney, hepatocytes","Primary: Dendritic cells, macrophages. Secondary: endothelial and epithelial cells","Macropinocytosis"
"Sin nombre virus","Bunyaviridae, Hantavirus","ss-RNA","Env","Rodents, Human","Entry","Glycoprotein G","PCDH1","Adhesion molecule","?","Respiratory tract",""
"Andes virus","Bunyaviridae, Hantavirus","ss-RNA","Env","Rodents, Human","Entry","Glycoprotein G","PCDH1","Adhesion molecule","?","Respiratory tract",""
"Hantaan virus","Bunyaviridae, Hantavirus","ss-RNA","Env","Rodents, Human","Entry","Glycoprotein G","Integrin &beta;3","Adhesion molecule","?","?","Clathrin-mediated endocytosis"
"Uukuniemi virus ","Bunyaviridae, Phlebovirus","ss-RNA","Env","Mosquitoes, cattle, Human","Entry","Envelope glycoprotein","DC-SIGN","Lectin","Dendritic cells","Primary: dendritic cells","?"
"Rift fever valley virus ","Bunyaviridae, Phlebovirus","ss-RNA","Env","Mosquitoes, cattle, Human","Entry","Envelope glycoprotein","DC-SIGN","Lectin","Dendritic cells","Primary: dendritic cells","?"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Entry","Hemagglutinin HA","Ganglioside GM3","Glycosphingolipid","Neurons, Ubiquitous","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Entry","Hemagglutinin HA","CACNA1C  (Cav1.2)","","Lung, Muscle, Brain, Kidney, Gastrointestinal tract.","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Entry","Hemagglutinin HA","Langerin CD207","Lectin","Langerhans cells and immature dendritic cells in skin or mucosa","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Entry","Hemagglutinin HA","NeuAc alpha 2,6 Sialic acids","Carbohydrate","epithelial airway cells","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Adhesion","Hemagglutinin HA","DC-SIGN","Lectin","Dendritic cells","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Human Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Human, Swine","Adhesion","Hemagglutinin HA","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","epithelial airway cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Avian Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Birds, Swine, flies?","Adhesion","Hemagglutinin HA","DC-SIGN","Lectin","Dendritic cells","epithelial gastrointestinal cells, myotubes","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Avian Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Birds, Swine, flies?","Adhesion","Hemagglutinin HA","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","epithelial gastrointestinal cells, myotubes","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Avian Influenza A virus","Orthomyxoviridae, Influenza A virus","ss-RNA","Env","Birds, Swine, flies?","Entry","Hemagglutinin HA","Neu5Gc alpha 2,3 Sialic acids","Carbohydrate","Respiratory and gastrointestinal tract","epithelial gastrointestinal cells, myotubes?","Clathrin-mediated endocytosis [any cells] and Clathrin/caveolin-independent endocytosis [in nonpolarized cells]Macropinocytosis [filamentous virion]"
"Influenza B virus","Orthomyxoviridae, Influenza B virus","ss-RNA","Env","Human, seals","Entry","Hemagglutinin HA","alpha 2,6 Sialic acids","Carbohydrate","?","epithelial airway cells","?"
"Influenza C virus","Orthomyxoviridae, Influenza C virus","ss-RNA","Env","Human, swine","Entry","Hemagglutinin-esterase-fusion glycoprotein HE","(alpha 2,3 or 2,6) 9-O-acetylated Sialic acids","Carbohydrate","?","?",""
"Bovine Influenza D virus","Orthomyxoviridae, Influenza D virus","ss-RNA","Env","Human, Swine","Entry","Hemagglutinin-esterase glycoprotein HE","Neu5,9Ac2 Sialic acids","Carbohydrate","epithelial airway cells","epithelial airway cells","?"
"Guanarito virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodent, human","Entry","Glycoprotein complex","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","Vascular system, multiple organs","Clathrin-mediated endocytosis"
"Junin virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodent, human","Entry","Glycoprotein complex","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","macrophages","Clathrin-mediated endocytosis"
"Human metapneumovirus","Paramyxoviridae, metapneumovirus","ss-RNA","Env","Human","Adhesion","Glycoprotein G","Glycosaminoglycans","Carbohydrate","?","epithelial cells of lung","?"
"Human metapneumovirus","Paramyxoviridae, metapneumovirus","ss-RNA","Env","Human","Adhesion","Fusion protein","Heparan sulfate","Carbohydrate","?","epithelial cells of lung","?"
"Human metapneumovirus","Paramyxoviridae, metapneumovirus","ss-RNA","Env","Human","Entry","Fusion protein","Integrin &alpha;5 &beta;3?","Adhesion molecule","?","epithelial cells of lung","?"
" Human parainfluenza 1","Paramyxoviridae, Respirovirus","ss-RNA","Env","Human","Entry","Hemagglutinin-neuraminidase HN","alpha 2,3 Sialic acids","Carbohydrate","?","trachea epithelial cells","?"
" Human parainfluenza 3","Paramyxoviridae, Respirovirus","ss-RNA","Env","Human","Adhesion","Hemagglutinin-neuraminidase HN","Heparan sulfate","Carbohydrate","","lower respiratory epithelial cells","?"
" Human parainfluenza 3","Paramyxoviridae, Respirovirus","ss-RNA","Env","Human","Entry","Hemagglutinin-neuraminidase HN","alpha2,6 and 2,3 Sialic acids","Carbohydrate","","lower respiratory epithelial cells","?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Adhesion","Glycoprotein complex","DC-SIGN","lectin","Dendritic cells","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Adhesion","Glycoprotein complex","CLEC4G (LSECtin)","lectin","Dendritic cells, macrophages, sinusoidal endothelial cells of the liver and lymph node","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Adhesion"," virion membrane phosphatidylserine","Tyro3 (TAM family)","Receptor","brain?","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Adhesion"," virion membrane phosphatidylserine","AXL (TAM family)","Receptor","Dendritic cells, macrophages?","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Adhesion","Glycoprotein complex","LAMP1 (CD107a)","","At cell surface: Dendritic cells, NK cells, Activated T lymphocytes, Embryonic cells In lysosomes: Ubiquitous","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?","Glycoprotein complex","&alpha;-dystroglycan","Adhesion molecule","Muscle, skin, and many tissues","Dendritic cells, liver","Macropinocytosis?"
"Lassa virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?","Glycoprotein complex","HAVCR1(TIM1)","Receptor","Dendritic cells, macrophages, epithelial cells, mast cells, B lymphocytes, activated CD4+ cells, kidney, hepatocytes","Dendritic cells, liver","Macropinocytosis?"
"Lymphocytic choriomeningitis virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?","Glycoprotein complex","&alpha;-dystroglycan","Adhesion molecule","Muscle, skin, and many tissues","Dendritic cells","Macropinocytosis?"
